Vendor,Cable Zone,D of W,Time,Program Name,Rating P25+,Rating P35+,Rating W35+,Imp P25+,Imp W35+,Share P25+,PUT P25+,Share P35+,PUT P35+,Rate 1,Rate 2,Rate 3,Rate 4,Rate 5,Comments,Start Date,End Date
Charter,Thibodeaux 7605,Mon-Sun,0600A-1200A,AEN,,,,,,,,,,,,,,7,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-1200A,CNN,,,,,,,,,,,,,,7,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-1200A,ESPN,,,,,,,,,,,,,,7,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-1200A,FXNC,,,,,,,,,,,,,,7,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-1200A,LIF,,,,,,,,,,,,,,7,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-1200A,TBS,,,,,,,,,,,,,,7,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-1200A,TNT,,,,,,,,,,,,,,7,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-1200A,USA,,,,,,,,,,,,,,7,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-1200A,BRVO,,,,,,,,,,,,,,6,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-1200A,HGTV,,,,,,,,,,,,,,6,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-1200A,FOOD,,,,,,,,,,,,,,6,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-1200A,TLC,,,,,,,,,,,,,,6,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-1200A,TWC,,,,,,,,,,,,,,6,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-1200A,BET,,,,,,,,,,,,,,5,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-0600P,AEN,,,,,,,,,,,,,,5,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-0600P,CNN,,,,,,,,,,,,,,5,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-0600P,ESPN,,,,,,,,,,,,,,5,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-0600P,FXNC,,,,,,,,,,,,,,5,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-0600P,LIF,,,,,,,,,,,,,,5,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-0600P,TBS,,,,,,,,,,,,,,5,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-0600P,TNT,,,,,,,,,,,,,,5,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-0600P,USA,,,,,,,,,,,,,,5,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-0600P,BRVO,,,,,,,,,,,,,,5,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-0600P,HGTV,,,,,,,,,,,,,,5,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-0600P,FOOD,,,,,,,,,,,,,,5,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-0600P,TLC,,,,,,,,,,,,,,5,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-0600P,TWC,,,,,,,,,,,,,,5,,,
Charter,Thibodeaux 7605,Mon-Sun,0600A-0600P,BET,,,,,,,,,,,,,,4,,,
Charter,Thibodeaux 7605,Mon-Sun,0500P-1200A,AEN,,,,,,,,,,,,,,11,,,
Charter,Thibodeaux 7605,Mon-Sun,0500P-1200A,CNN,,,,,,,,,,,,,,11,,,
Charter,Thibodeaux 7605,Mon-Sun,0500P-1200A,ESPN,,,,,,,,,,,,,,11,,,
Charter,Thibodeaux 7605,Mon-Sun,0500P-1200A,FXNC,,,,,,,,,,,,,,11,,,
Charter,Thibodeaux 7605,Mon-Sun,0500P-1200A,LIF,,,,,,,,,,,,,,11,,,
Charter,Thibodeaux 7605,Mon-Sun,0500P-1200A,TBS,,,,,,,,,,,,,,11,,,
Charter,Thibodeaux 7605,Mon-Sun,0500P-1200A,TNT,,,,,,,,,,,,,,11,,,
Charter,Thibodeaux 7605,Mon-Sun,0500P-1200A,USA,,,,,,,,,,,,,,11,,,
Charter,Thibodeaux 7605,Mon-Sun,0500P-1200A,BRVO,,,,,,,,,,,,,,10,,,
Charter,Thibodeaux 7605,Mon-Sun,0500P-1200A,HGTV,,,,,,,,,,,,,,10,,,
Charter,Thibodeaux 7605,Mon-Sun,0500P-1200A,FOOD,,,,,,,,,,,,,,10,,,
Charter,Thibodeaux 7605,Mon-Sun,0500P-1200A,TLC,,,,,,,,,,,,,,10,,,
Charter,Thibodeaux 7605,Mon-Sun,0500P-1200A,TWC,,,,,,,,,,,,,,10,,,
Charter,Thibodeaux 7605,Mon-Sun,0500P-1200A,BET,,,,,,,,,,,,,,9,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-1200A,AEN,,,,,,,,,,,,,,5,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-1200A,CNN,,,,,,,,,,,,,,5,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-1200A,ESPN,,,,,,,,,,,,,,5,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-1200A,FXNC,,,,,,,,,,,,,,5,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-1200A,LIF,,,,,,,,,,,,,,5,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-1200A,TBS,,,,,,,,,,,,,,5,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-1200A,TNT,,,,,,,,,,,,,,5,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-1200A,USA,,,,,,,,,,,,,,5,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-1200A,BRVO,,,,,,,,,,,,,,4,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-1200A,HGTV,,,,,,,,,,,,,,4,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-1200A,TLC,,,,,,,,,,,,,,4,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-1200A,TWC,,,,,,,,,,,,,,4,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-1200A,BET,,,,,,,,,,,,,,1,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-0600P,AEN,,,,,,,,,,,,,,3,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-0600P,CNN,,,,,,,,,,,,,,3,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-0600P,ESPN,,,,,,,,,,,,,,3,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-0600P,FXNC,,,,,,,,,,,,,,3,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-0600P,LIF,,,,,,,,,,,,,,3,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-0600P,TBS,,,,,,,,,,,,,,3,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-0600P,TNT,,,,,,,,,,,,,,3,,,
Charter,Golden Meadow 0516,Mon-Sun,0600A-0600P,USA,,,,,,,,,,,,,,3,,,
