Vendor,Cable Zone,D of W,Time,Program Name,Rating P25+,Rating P35+,Rating W35+,Imp P25+,Imp W35+,Share P25+,PUT P25+,Share P35+,PUT P35+,Rate 1,Rate 2,Rate 3,Rate 4,Rate 5,Comments,Start Date,End Date
KALB,,Mon-Fri,0400A-0430A,AM Meet the Press,,,,,,,,,,200,150,75,,,,,
KALB,,Mon-Fri,0430A-0500A,Early Today,,,,,,,,,,200,150,100,,,,,
KALB,,Mon-Fri,0500A-0600A,Early Jambalaya,5.2,,,,,,,,,500,350,225,,,,,
KALB,,Mon-Fri,0600A-0700A,Jambalaya,9.9,,,,,,,,,900,700,400,,,,,
KALB,,Mon-Fri,0700A-0900A,Today Show,8.3,,,,,,,,,500,400,300,,,,,
KALB,,Mon-Fri,0900A-1000A,Today Show - 3rd Hour,4.4,,,,,,,,,300,225,175,,,,,
KALB,,Mon-Fri,1000A-1100A,Today Show - 4th Hour,2,,,,,,,,,300,225,175,,,,,
KALB,,Mon-Fri,1200P-1230P,Mid-Day News,9.4,,,,,,,,,750,600,400,,,,,
KALB,,Mon-Fri,1230P-0130P,Days of Our Lives,6.8,,,,,,,,,425,325,225,,,,,
KALB,,Mon-Fri,0130P-0230P,Rachel Ray Show,2.5,,,,,,,,,200,160,140,,,,,
KALB,,Mon-Fri,0230P-0330P,Steve Harvey,2.7,,,,,,,,,250,200,150,,,,,
KALB,,Mon-Fri,0330P-0430P,Ellen,2.8,,,,,,,,,300,230,200,,,,,
KALB,,Mon-Fri,0430P-0500P,Jeopardy,5.2,,,,,,,,,425,320,250,,,,,
KALB,,Mon-Fri,0500P-0530P,Live At 5 News,19.4,,,,,,,,,1200,900,500,,,,,
KALB,,Mon-Fri,0600P-0630P,6P News,19.1,,,,,,,,,1200,1000,800,,,,,
KALB,,Mon-Fri,0630P-0700P,Wheel of Fortune,17.8,,,,,,,,,1200,900,700,,,,,
KALB,,M,0700P-0900P,The Voice,11.7,,,,,,,,,"2,400","1,800","1,400",,,,,
KALB,,M,0900P-1000P,The Blacklist,9.3,,,,,,,,,"1,600","1,300","1,000",,,,,
KALB,,T,0700P-0800P,The Voice,9.7,,,,,,,,,"2,400","1,800","1,400",,,,,
KALB,,T,0800P-0830P,Marry Me,,,,,,,,,,"1,200","1,000",800,,,,,
KALB,,T,0830P-0900P,About A Boy,,,,,,,,,,"1,200","1,000",800,,,,,
KALB,,T,0900P-1000P,Chicago Fire,,,,,,,,,,"1,600","1,200","1,000",,,,,
KALB,,W,0700P-0800P,The Mysteries of Laura,4.2,,,,,,,,,"1,300","1,000",750,,,,,
KALB,,W,0800P-0900P,Law & Order: SVU,5.1,,,,,,,,,"1,300","1,000",750,,,,,
KALB,,W,0900P-1000P,Chicago PD,4.3,,,,,,,,,"1,600","1,200","1,000",,,,,
