Vendor,Cable Zone,D of W,Time,Program Name,Rating A25+,Imp A25+,Rating W35+,Imp W35+,Share P25+,PUT P25+,Imp W35+,Share P35+,PUT P35+,Rate 1,Rate 2,Rate 3,Rate 4,Rate 5,Comments,Start Date,End Date
KLFY,,Mon-Fri,0430A-0500A,Passe Partout,0.6,,,,,,,,,175,115,75,50,,,,
KLFY,,Mon-Fri,0500A-0600A,Passe Partout,4.2,,,,,,,,,510,340,225,150,,,,
KLFY,,Mon-Fri,0600A-0700A,Passe Partout,6.6,,,,,,,,,765,510,340,225,,,,
KLFY,,Mon-Fri,0700A-0900A,CBS This Morning,4,,,,,,,,,510,340,225,150,,,,
KLFY,,Mon-Fri,0900A-1000A,Live with Kelly and Michael,3.4,,,,,,,,,300,195,130,85,,,,
KLFY,,Mon-Fri,1000A-1100A,The Price Is Right,6.6,,,,,,,,,300,195,130,85,,,,
KLFY,,Mon-Fri,1100A-1200P,The Young and the Restless,8.9,,,,,,,,,805,535,355,235,,,,
KLFY,,Mon-Fri,1200P-1230P,Meet Your Neighbor,8.4,,,,,,,,,805,535,355,235,,,,
KLFY,,Mon-Fri,1230P-0100P,The Bold and the Beautiful,7.2,,,,,,,,,805,535,355,235,,,,
KLFY,,Mon-Fri,0100P-0200P,The Talk,3.6,,,,,,,,,240,160,105,70,,,,
KLFY,,Mon-Fri,0200P-0300P,Let's Make a Deal,3.2,,,,,,,,,240,160,105,70,,,,
KLFY,,Mon-Fri,0300P-0330P,Who Wants to Be a Millionaire,2.3,,,,,,,,,175,115,75,50,,,,
KLFY,,Mon-Fri,0330P-0400P,Judge Judy,2.7,,,,,,,,,175,115,75,50,,,,
KLFY,,Mon-Fri,0400P-0500P,Dr. Phil,3.6,,,,,,,,,175,115,75,50,,,,
KLFY,,Mon-Fri,0500P-0530P,Eyewitness News at 5,9.8,,,,,,,,,950,625,415,275,,,,
KLFY,,M-W-F,0530P-0600P,CBS Evening News,9.6,,,,,,,,,1275,850,565,375,,,,
