Vendor,Cable Zone,D of W,Time,Program Name,Rating P25+,Rating P35+,Rating W35+,Imp P25+,Imp W35+,Share P25+,PUT P25+,Share P35+,PUT P35+,Rate 1,Rate 2,Rate 3,Rate 4,Rate 5,Comments,Start Date,End Date
KPLC-LUR,,M-F,0500A-0530A,7 News Early Sunrise,,8.80,,,,,,,,,,,,70.00,8.8070.00,,
KPLC-LUR,,M-F,0700A-0900A,The Today Show,,8.80,,,,,,,,,,,,140.00,8.80140.00,,
KPLC-LUR,,M-F,0530A-0700A,7 News at Sunrise,,13.20,,,,,,,,,,,,165.00,13.20165.00,,
KPLC-LUR,,M-F,1000A-1100A,The Today Show 3-NBC,,2.00,,,,,,,,,,,,30.00,2.0030.00,,
KPLC-LUR,,M-F,0900A-1000A,The Today Show 2-NBC,,4.50,,,,,,,,,,,,65.00,4.5065.00,,
KPLC-LUR,,M-F,1130A-1200P,KPLC Midday News,,0.80,,,,,,,,,,,,35.00,0.8035.00,,
KPLC-LUR,,M-F,1200P-1230P,Noon News,,10.50,,,,,,,,,,,,115.00,10.50115.00,,
KPLC-LUR,,M-F,1230P-0130P,Days of Our Lives,,6.30,,,,,,,,,,,,100.00,6.30100.00,,
KPLC-LUR,,M-F,0130P-0230P,Ellen,,2.60,,,,,,,,,,,,35.00,2.6035.00,,
KPLC-LUR,,M-F,0230P-0300P,The Inside Edition,,1.60,,,,,,,,,,,,35.00,1.6035.00,,
KPLC-LUR,,M-F,0300P-0400P,America Now,,0.90,,,,,,,,,,,,40.00,0.9040.00,,
KPLC-LUR,,M-F,0400P-0500P,Right This Minute,,1.50,,,,,,,,,,,,50.00,1.5050.00,,
KPLC-LUR,,M-F,0500P-0530P,7 News Live - 5,,16.50,,,,,,,,,,,,195.00,16.50195.00,,
KPLC-LUR,,M-F,0600P-0630P,7 News Live - 6,,23.20,,,,,,,,,,,,405.00,23.20405.00,,
KPLC-LUR,,M-F,0630P-0700P,Entertainment Tonight,,13.60,,,,,,,,,,,,305.00,13.60305.00,,
KPLC-LUR,,M-F,1030P-1130P,The Tonight Show,,6.40,,,,,,,,,,,,110.00,6.40110.00,,
KPLC-LUR,,M-F,1000P-1030P,7 News P,,17.30,,,,,,,,,,,,405.00,17.30405.00,,
KPLC-LUR,,M-F,1130P-1230A,Late Night w/Jimmy Fallon,,1.20,,,,,,,,,,,,10.00,1.2010.00,,
KPLC-LUR,,M-F,1230A-0100A,Last Call w/Carson Daly,,0.30,,,,,,,,,,,,5.00,0.305.00,,
KPLC-LUR,,M-F,0430A-0530A,Early Today-NBC,,0.40,,,,,,,,,,,,10.00,0.4010.00,,
KPLC-LUR,,M,0700P-0900P,The Voice,,14.30,,,,,,,,,,,,400.00,14.30400.00,,
KPLC-LUR,,M,0900P-1000P,The Blacklist,,10.10,,,,,,,,,,,,400.00,10.10400.00,,
KPLC-LUR,,T,0700P-0800P,The Voice,,6.20,,,,,,,,,,,,400.00,6.20400.00,,
KPLC-LUR,,T,0800P-0900P,About A Boy/Family Guide,,10.90,,,,,,,,,,,,400.00,10.90400.00,,
KPLC-LUR,,T,0900P-1000P,Chicago Fire,,6.60,,,,,,,,,,,,400.00,6.60400.00,,
KPLC-LUR,,W,0700P-0800P,Revolution,,4.90,,,,,,,,,,,,400.00,4.90400.00,,
KPLC-LUR,,W,0800P-0900P,Law and Order SVU,,4.50,,,,,,,,,,,,400.00,4.50400.00,,
KPLC-LUR,,W,0900P-1000P,Chicago PD,,2.60,,,,,,,,,,,,400.00,2.60400.00,,
KPLC-LUR,,R,0700P-0800P,Community/Parks and Recreation,,5.30,,,,,,,,,,,,400.00,5.30400.00,,
KPLC-LUR,,R,0800P-0900P,Sean/Michael J Fox,,3.90,,,,,,,,,,,,400.00,3.90400.00,,
KPLC-LUR,,R,0900P-1000P,Parenthood,,5.10,,,,,,,,,,,,400.00,5.10400.00,,
KPLC-LUR,,F,0700P-0800P,Dateline,,4.50,,,,,,,,,,,,400.00,4.50400.00,,
KPLC-LUR,,F,0800P-0900P,Grimm,,6.40,,,,,,,,,,,,400.00,6.40400.00,,
KPLC-LUR,,F,0900P-1000P,Hannibal,,3.90,,,,,,,,,,,,400.00,3.90400.00,,
KPLC-LUR,,A,0700A-0900A,Saturday Today Show,,3.10,,,,,,,,,,,,45.00,3.1045.00,,
KPLC-LUR,,A,0600P-0630P,7 News Saturday Evening,,8.50,,,,,,,,,,,,135.00,8.50135.00,,
KPLC-LUR,,A,0700P-1000P,Drama Encores,,1.70,,,,,,,,,,,,300.00,1.70300.00,,
KPLC-LUR,,A,1000P-1030P,7 News Saturday Late,,8.10,,,,,,,,,,,,280.00,8.10280.00,,
KPLC-LUR,,A,1030P-1200A,Saturday Night Live,,2.80,,,,,,,,,,,,70.00,2.8070.00,,
KPLC-LUR,,A,1200A-0100A,Bones,,0.80,,,,,,,,,,,,65.00,0.8065.00,,
KPLC-LUR,,U,0700A-0800A,Sunday Today,,2.30,,,,,,,,,,,,45.00,2.3045.00,,
KPLC-LUR,,U,0800A-0900A,Meet the Press,,1.90,,,,,,,,,,,,190.00,1.90190.00,,
KPLC-LUR,,U,1200P-0530P,Movies/Sports/Various,,0.80,,,,,,,,,,,,120.00,0.80120.00,,
KPLC-LUR,,U,0600P-0800P,Dateline 2 Hours,,6.90,,,,,,,,,,,,400.00,6.90400.00,,
KPLC-LUR,,U,0800P-1000P,The Voice,,13.60,,,,,,,,,,,,400.00,13.60400.00,,
KPLC-LUR,,U,0900P-1000P,Crisis,,13.30,,,,,,,,,,,,400.00,13.30400.00,,
KPLC-LUR,,U,1000P-1100P,7 News Sunday Late,,14.20,,,,,,,,,,,,390.00,14.20390.00,,
KPLC-LUR,,U,1100P-1200A,Bones,,3.90,,,,,,,,,,,,65.00,3.9065.00,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
