Vendor,Blank,D of W,Time,Program Name,Rating A25+,Imp A25+,Rating W35+,Imp W35+,Share,PUT,blank,blank,blank,Rate 1,Rate 2,Rate 3,Rate 4,Rate 5,Comments
Fox 29,,Mon-Fri,0700A-0800A,Judge Alex/Divorce Court,,,,,,,,,,50,30,20,,,
Fox 29,,Mon-Fri,0800A-0900A,People's Court,0.5,,,,,,,,,50,30,25,,,
Fox 29,,Mon-Fri,0900A-1000A,Judge Mathis,0.4,,,,,,,,,85,70,60,,,
Fox 29,,Mon-Fri,1000A-1100A,Judge Judy,0.4,,,,,,,,,85,70,60,,,
Fox 29,,Mon-Fri,1100A-1200P,Rachael Ray,0.8,,,,,,,,,50,35,25,,,
Fox 29,,Mon-Fri,1200P-1230P,FOX29 News Express,0.2,,,,,,,,,100,85,65,,,
Fox 29,,Mon-Fri,1230P-0100P,Jeopardy,0.3,,,,,,,,,50,35,25,,,
Fox 29,,Mon-Fri,0100P-0200P,The Doctors,0.3,,,,,,,,,50,35,25,,,
Fox 29,,Mon-Fri,0200P-0300P,Dr. Oz,0.5,,,,,,,,,60,45,30,,,
Fox 29,,Mon-Fri,0300P-0400P,Queen Latifah,0.6,,,,,,,,,90,65,55,,,
Fox 29,,Mon-Fri,0400P-0500P,Steve Harvey,0.7,,,,,,,,,100,85,60,,,
Fox 29,,Mon-Fri,0500P-0600P,Big Bang Theory,0.6,,,,,,,,,115,75,55,,,
Fox 29,,Mon-Fri,0600P-0630P,Wheel of Fortune,2.2,,,,,,,,,160,140,115,,,
Fox 29,,Mon-Fri,0630P-0700P,Jeopardy,3.2,,,,,,,,,160,140,115,,,
Fox 29,,Mon-Fri,0900P-1000P,Modern Family,0.6,,,,,,,,,100,85,65,,,
Fox 29,,Mon-Fri,1000P-1030P,Two and a Half Men,0.6,,,,,,,,,50,35,25,,,
Fox 29,,Mon-Fri,1030P-1100P,Two and a Half Men,1.2,,,,,,,,,50,35,25,,,
Fox 29,,Mon-Fri,1100P-1200A,Law & Order: SVU,0.1,,,,,,,,,30,15,10,,,
Fox 29,,A,1200P-0600P,Various Non-Sports Rotator,,,,,,,,,,60,45,35,,,
Fox 29,,A,0600P-0700P,Wheel/Jeopardy,,,,,,,,,,80,55,40,,,
Fox 29,,A,0900P-1000P,Modern Family,,,,,,,,,,80,55,40,,,
Fox 29,,A,1000P-1100P,Animation Domination HD,,,,,,,,,,50,30,20,,,
Fox 29,,A,1100P-1200A,Glee,,,,,,,,,,40,30,20,,,
Fox 29,,U,0800A-0900A,Fox News Sunday,,,,,,,,,,60,40,25,,,
Fox 29,,U,1000A-1030A,Open House,,,,,,,,,,50,40,25,,,
Fox 29,,U,1030A-1100A,Today's Homeowner,,,,,,,,,,50,40,25,,,
Fox 29,,U,1200P-0330P,NFL on FOX,,,,,,,,,,1200,1000,800,,,
Fox 29,,U,0900P-1000P,The Big Bang Theory,,,,,,,,,,90,75,60,,,
Fox 29,,U,1000P-1100P,Glee,,,,,,,,,,60,45,30,,,
Fox 29,,M,0700P-0800P,Gotham,4.1,,,,,,,,,400,350,250,,,
Fox 29,,M,0800P-0900P,Sleepy Hollow,2.5,,,,,,,,,350,300,250,,,
Fox 29,,T,0700P-0800P,Utopia,1.9,,,,,,,,,350,300,250,,,
Fox 29,,T,0800P-0830P,New Girl,1.4,,,,,,,,,400,350,300,,,
Fox 29,,T,0830P-0900P,The Mindy Project,,,,,,,,,,450,400,300,,,
Fox 29,,W,0700P-0800P,Hell's Kitchen,6.1,,,,,,,,,425,375,300,,,
Fox 29,,W,0800P-0900P,Red Band Society,5.2,,,,,,,,,425,350,300,,,
Fox 29,,R,0700P-0800P,Bones,3.6,,,,,,,,,450,350,300,,,
Fox 29,,R,0800P-0900P,Gracepoint,3,,,,,,,,,450,375,325,,,
Fox 29,,A,0600P-0830P,FOX College Football,,,,,,,,,,450,300,200,,,
Fox 29,,U,0600P-0930P,NFL Non - Saints,,,,,,,,,,1200,1000,800,,,
Fox 29,,U,0630P-0700P,Bob's Burgers,4,,,,,,,,,300,200,150,,,
Fox 29,,U,0700P-0730P,Simpson's ,3,,,,,,,,,500,325,275,,,
Fox 29,,U,0730P-0800P,Brooklyn Nine-Nine,5.1,,,,,,,,,,,,,,
Fox 29,,U,0800P-0830P,Family Guy,2.3,,,,,,,,,400,350,300,,,
Fox 29,,U,0830P-0900P,Mulaney,2.5,,,,,,,,,300,275,250,,,
Fox 29,,U,0800A-1200P,NFL London,,,,,,,,,,800,650,500,,,
Fox 29,,Mon-Fri,0700A-0500P,Daytime,,,,,,,,,,50,40,30,,,
Fox 29,,Mon-Fri,0500P-0700P,Access,,,,,,,,,,125,100,85,,,
Fox 29,,Mon-Fri,1000P-1200A,Late Night,,,,,,,,,,45,35,25,,,
Fox 29,,F,0700P-0900P,Friday Prime,,,,,,,,,,400,275,200,,,
Fox 29,,A,1000P-0100A,Saturday Late Night,,,,,,,,,,35,30,25,,,
Fox 29,,A,0700P-0900P,Saturday Prime,,,,,,,,,,175,150,125,,,
Fox 29,,U,0600P-0900P,Sunday Prime,,,,,,,,,,350,300,250,,,
Fox 29,,U,1000P-1200A,Sunday Late Night,,,,,,,,,,45,35,25,,,
Fox 29,,F,0700P-0800P,Utopia,1.5,,,,,,,,,350,300,200,,,
Fox 29,,F,0800P-0900P,Gotham,0.9,,,,,,,,,350,300,200,,,
