Vendor,Cable Zone,D of W,Time,Program Name,Rating P25+,Rating P35+,Rating W35+,Imp P25+,Imp W35+,Share P25+,PUT P25+,Share P35+,PUT P35+,Rate 1,Rate 2,Rate 3,Rate 4,Rate 5,Comments,Start Date,End Date
KADN,,Mon-Fri,0800A-0900A,Divorce Court,0.5,,,,,3.3,14.7,,,60,45,35,30,,,,
KADN,,Mon-Fri,0900A-1000A,Steve Harvey,0.9,,,,,6.9,12.4,,,60,45,35,30,,,,
KADN,,Mon-Fri,1000A-1100A,Family Fued,0.7,,,,,5.4,13.6,,,60,45,35,30,,,,
KADN,,Mon-Fri,1100A-1200P,Judge Alex,0.9,,,,,5.8,16.1,,,60,45,35,30,,,,
KADN,,Mon-Fri,1200P-0100P,People's Court,1.4,,,,,7.9,17.3,,,60,45,35,30,,,,
KADN,,Mon-Fri,0100P-0200P,Judge Mathis,1.7,,,,,11.5,14.6,,,60,45,35,30,,,,
KADN,,Mon-Fri,0200P-0300P,Queen Latifah,0.6,,,,,4.8,13,,,60,45,35,30,,,,
KADN,,Mon-Fri,0300P-0400P,Maury,1.1,,,,,8.5,13.6,,,75,60,45,35,,,,
KADN,,Mon-Fri,0400P-0500P,Steve Harvey,1.9,,,,,10.4,17.9,,,100,75,50,35,,,,
KADN,,Mon-Fri,0500P-0600P,Modern Family,0.4,,,,,1.5,30.5,,,100,75,50,35,,,,
KADN,,A,0500P-0600P,Big Bang Theory,,,,,,,,,,75,60,45,45,,,,
KADN,,Mon-Fri,0600P-0630P,Big Bang Theory,2.1,,,,,6.1,34.4,,,300,245,175,125,,,,
KADN,,Mon-Fri,0630P-0700P,Big Bang Theory,2.6,,,,,7.5,34.7,,,350,285,205,150,,,,
KADN,,Mon-Fri,0600P-0700P,Big Bang Theory,2.4,,,,,6.8,34.5,,,250,180,150,125,,,,
KADN,,M,0700P-0800P,Gotham,2.5,,,,,5.5,45.5,,,450,400,350,300,,,,
KADN,,M,0800P-0900P,Hotel Hell,3.6,,,,,7.7,46.4,,,400,350,300,250,,,,
KADN,,T,0700P-0800P,Utopia,1.2,,,,,2.8,44,,,400,350,225,175,,,,
KADN,,T,0800P-0900P,New Girl/Mindy Project,1.3,,,,,3.3,41.2,,,350,300,250,200,,,,
KADN,,W,0700P-0800P,Hell's Kitchen,1.9,,,,,4.6,41.8,,,400,350,300,275,,,,
