Vendor,Station,D of W,Time,Length,Rate,Comments,Start Date,End Date
Townsquare Media,KPEL 1420 FM,Mon-Fri,0600A-0700P,30,75,,8/26/14,9/1/15
Townsquare Media,KPEL 1420 FM,A,0600A-0700P,30,20,Any daypart/,8/26/14,9/1/15
Townsquare Media,KPEL 1420 FM,U,0600A-0700P,30,20,Any daypart/,8/26/14,9/1/15
Townsquare Media,KPEL 1420 FM,Mon-Fri,0600A-0700P,60,75,,8/26/14,9/1/15
Townsquare Media,KPEL 1420 FM,A,0600A-0700P,60,20,Any daypart/,8/26/14,9/1/15
Townsquare Media,KPEL 1420 FM,U,0600A-0700P,60,20,Any daypart/,8/26/14,9/1/15
Townsquare Media,KTDY 99.9 FM,Mon-Fri,0600A-0700P,30,100,,8/26/14,9/1/15
Townsquare Media,KTDY 99.9 FM,A,0600A-0700P,30,50,Any daypart/,8/26/14,9/1/15
Townsquare Media,KTDY 99.9 FM,U,0600A-0700P,30,30,Any daypart/,8/26/14,9/1/15
Townsquare Media,KTDY 99.9 FM,Mon-Fri,0600A-0700P,60,100,,8/26/14,9/1/15
Townsquare Media,KTDY 99.9 FM,A,0600A-0700P,60,50,Any daypart/,8/26/14,9/1/15
Townsquare Media,KTDY 99.9 FM,U,0600A-0700P,60,30,Any daypart/,8/26/14,9/1/15
Townsquare Media,KMDL 97.3 FM,Mon-Fri,0600A-0700P,30,100,,8/26/14,9/1/15
Townsquare Media,KMDL 97.3 FM,A,0600A-0700P,30,50,Any daypart/,8/26/14,9/1/15
Townsquare Media,KMDL 97.3 FM,U,0600A-0700P,30,30,Any daypart/,8/26/14,9/1/15
Townsquare Media,KMDL 97.3 FM,Mon-Fri,0600A-0700P,60,100,,8/26/14,9/1/15
Townsquare Media,KMDL 97.3 FM,A,0600A-0700P,60,50,Any daypart/,8/26/14,9/1/15
Townsquare Media,KMDL 97.3 FM,U,0600A-0700P,60,30,Any daypart/,8/26/14,9/1/15
Townsquare Media,KPEL 1420 FM,Mon-Sun,0600A-0700P,10,25,Net rate/,8/26/14,9/1/15
Townsquare Media,KTDY 99.9 FM,Mon-Sun,0600A-0700P,10,40,Net rate/,8/26/14,9/1/15
Townsquare Media,KMDL 97.3 FM,Mon-Sun,0600A-0700P,10,40,Net rate/,8/26/14,9/1/15
KBON,KBON 101.1 FM,Mon-Sun,0600A-0700P,60,35,,8/26/14,9/1/15
KBON,KBON 101.1 FM,Mon-Sun,0600A-0700P,30,30,,8/26/14,9/1/15
KZWA,KZWA 104.9 FM,Mon-Fri,0600A-0700P,30,25,,8/26/14,9/1/15
KZWA,KZWA 104.9 FM,A,0600A-0700P,30,18,,8/26/14,9/1/15
KZWA,KZWA 104.9 FM,U,0600A-0700P,30,14,,8/26/14,9/1/15
KZWA,KZWA 104.9 FM,Mon-Fri,0600A-0700P,60,25,,8/26/14,9/1/15
KZWA,KZWA 104.9 FM,A,0600A-0700P,60,18,,8/26/14,9/1/15
KZWA,KZWA 104.9 FM,U,0600A-0700P,60,14,,8/26/14,9/1/15
KOCZ,KOCZ 107.7 FM,Mon-Sun,0600A-0700P,,10,Net rate/,8/26/14,9/1/15
Delta Media,KFXZ 105.9 FM,Mon-Fri,0600A-1000A,30,20,Net rate/,8/26/14,9/1/15
Delta Media,KFXZ 105.9 FM,Mon-Fri,0800A-1000A,30,25,Net rate/,8/26/14,9/1/15
