Vendor,Cable Zone,D of W,Time,Program Name,Rating P25+,Rating P35+,Rating W35+,Imp P25+,Imp W35+,Share P25+,PUT P25+,Share P35+,PUT P35+,Rate 1,Rate 2,Rate 3,Rate 4,Rate 5,Comments,Start Date,End Date
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,AEN,,,,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,BET,0.1,,0.2,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,CNN,0.3,,0.3,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,ESPN,0.3,,0,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,FAM,0,,0,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,FOOD,,,,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,FXNC,2.1,,1.8,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,HGTV,,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,LIF,,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,TBS,0.2,,0.3,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,TLC,,,,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,TNT,0.3,,0.2,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,TWC,0.3,,0.4,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,USA,,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,AEN,,,,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,BET,0.1,,0.3,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,CNN,0.2,,0.1,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,ESPN,0.1,,0,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,FAM,0.2,,0.5,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,FOOD,0.2,,0.3,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,FXNC,0.9,,1,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,HGTV,0.2,,0.2,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,LIF,0.3,,0.1,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,TBS,0.1,,0.1,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,TLC,0.1,,0.2,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,TNT,0.7,,1.3,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,TWC,0.2,,0.3,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,USA,0.5,,0.4,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,AEN,0.4,,0.5,,,,,,,,,,,7,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,BET,0.5,,0.8,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,CNN,0.2,,0.2,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,ESPN,0.4,,0.3,,,,,,,,,,,5,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,FAM,0.2,,0.1,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,FOOD,0.3,,0.5,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,FXNC,1.7,,1.3,,,,,,,,,,,6,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,HGTV,0.4,,0.6,,,,,,,,,,,3,,,
